sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,afn-fulfillable-quantity-local,afn-fulfillable-quantity-remote,store,report_date
ACS11040PAN,B0FVBPV3QF,B0FVBPV3QF,"Spigen Optik Armor für Samsung Galaxy S26 Ultra Hülle [Kamera-Schutz] Case, Militärgeprüfter Schutz Handyhülle –Schwarz",New,21.99,No,,Yes,2917,2402,3,506,2917,313.98,0,0,0,6,0,0,2402,0,,20260326
AGL01811EUP,X001WWPZ03,B08DQBT5P2,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 12 Mini, 2 Stück, Kratzfest, 9H Härte Folie",New,17.99,No,,Yes,160,153,0,7,360,545.36,0,200,0,0,0,0,153,0,,20260307
amzn.gr.ACP10031PAN-S84lr07HGzARpALMC-LN,X002I98AMT,B0FCJC4QW4,"Spigen Tesla Model Y Juniper (Nur Premium & Performance 2025 2026) Mittelkonsole Abdeckung für Kabelloses Ladepad [Ultradünnes 0,8mm Design] Silikonabdeckung für Model Y Juniper 2025 Zubehör - Schwarz",UsedLikeNew,17.99,No,,Yes,1,1,0,0,1,952.74,0,0,0,0,0,0,1,0,,20260309
ACS09002PAN,B0DJ9T34WK,B0DJ9T34WK,"Spigen Ultra Hybrid MagFit für Samsung Galaxy S25 Hülle mit [Anti-Vergilbung], [Air Cushion Tech], MagSafe kompatibel –Clear White",New,26.99,No,,Yes,328,320,2,5,328,1717.53,0,0,0,1,0,0,320,0,,20260326
APP04545PAN,B09V1V34TV,B09V1V34TV,"Spigen DA20 Apple Pencil Stifthalter für Pro und 2. Generation Kompatibel mit iPad Pro 11""/ 13"", iPad Air 11"" /13"" und Anderen iPad-Serien - Schwarz",New,29.99,No,,Yes,101,89,0,12,115,179.6,0,10,4,0,0,0,89,0,,20260325
ACS09906PAN,B0FD1X2Y3D,B0FD1X2Y3D,Spigen iPhone 17 Pro Max Hülle [Spigen Premium Qualität] [2025 Upgrade Kamerasteuerung] Enzo Aramid T MagFit Case [Kevlar 1500D] Dünn Slim Stoßfest -Black Black,New,39.99,No,,Yes,82,72,5,5,82,307.26,0,0,0,0,0,260,72,0,,20260328
ACS09714PAN,B0F49GLLY8,B0F49GLLY8,Spigen Liquid Air Hülle Kompatibel mit Google Pixel 10 und Pixel 10 Pro [Made for Google] -Schwarz,New,14.99,No,,Yes,435,407,6,22,435,273.66,0,0,0,0,0,0,407,0,,20260322
ACS07006PAN,B0CW2DRJ9R,B0CW2DRJ9R,Spigen Ultra Hybrid Pro Hülle Kompatibel mit iPad Pro 13 Zoll M5 (2025) / M4 (2024) Chip Case mit Transparente Hartschale Auto Schlaf/Wach Funktion Stiftfreundlich - Schwarz,New,31.99,No,,Yes,294,288,5,1,294,1623.47,0,0,0,0,0,0,288,0,,20260314
ACS06793PAN,B0C5S8XR9H,B0C5S8XR9H,Spigen für iPhone 15 Ultra Hybrid Hülle [Anti-Yellowing] Case Handyhülle Schutzhülle Cover Transparent Durchsichtig Dünn Slim -Crystal Clear,New,13.99,No,,Yes,385,365,0,19,595,1136.28,0,210,0,1,0,0,365,0,,20260301
ACS08792PAN,B0D9MWQBL7,B0D9MWQBL7,Spigen für iPhone 16 Pro Hülle [Anti-Yellowing] Ultra Hybrid MagFit Case Handyhülle Transparent Dünn Slim Kompatibel mit MagSafe -Neo One,New,30.99,No,,Yes,101,99,0,2,101,273.83,0,0,0,0,0,0,99,0,,20260318
