item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,merchant-shipping-group,status,Minimum order quantity,Sell remainder
Spigen Neo Hybrid Hülle Kompatibel mit Galaxy Note 10 Plus,,0724VO9ERPQ,627CS27338V,,,24/07/2019 12:11:12 MEST,,y,1,,,11.0,,,,B07VMFXBNB,,,,,,B07VMFXBNB,,,,AMAZON_EU,Standardvorlage Amazon,Incomplete,,
Spigen Style Ring Handy Ring Phone Griff/Ständer/Halter für alle Handys und Tablets - Rot,"Schnappen Sie sich Ihr Smartphone mit dem Style Ring von Spigen. Tragen Sie es einfach am Finger, nachdem Sie es an Ihrem Telefon oder Etui befestigt haben, um die Gefahr des Herunterfallens Ihres Telefons zu verringern. Seine vielseitigen Eigenschaften dienen auch als Ständer für bequemes Ein- und Aussteigen.",0519S56IOGQ,000SR21950DEP,18.99,,19/05/2017 04:46:40 MEST,,y,1,,,11.0,,,,B0719KM9K8,,,,,,B0719KM9K8,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen, 2Stück, Schutzfolie kompatibel mit Samsung Galaxy S9, Hüllenfreundlich, Kein Glas, TPU Folie, Wasser Installation, volle Abdeckung, Galaxy S9 Schutzfolie (592FL22813)",,0326UVKLF52,592FL22813DEPA,11.99,,26/03/2018 17:19:02 MEST,,y,1,,,11.0,,,,B079DPZPXB,,,,,,B079DPZPXB,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit Google Pixel 10, Pixel 10 Pro, Pixel 9, Pixel 9 Pro, 2 Stück, Kratzfest, inklusive Installationskit, Kristallklar, 9H Härte Folie",,0813BIOU9DJ,AGL08442EUP,23.99,,13/08/2024 09:07:46 MEST,,y,4,,,11.0,,,,B0D851Z6N8,,,,,,8809971233101,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen Ultra Hybrid Hülle Kompatibel mit Samsung Galaxy S23 5G -Frost Black,,0214BWJPK74,amzn.gr.ACS05716PAN-M2xYeCcyNiQnlw9Rh-VG,14.44,,14/02/2024 06:54:33 MET,,y,1,,,2.0,,,,B0BJSLGWB1,,,,,,B0BJSLGWB1,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Samsung Galaxy S9 Plus Hülle, [Pro Guard] Variation Parent",,0205UY6VS5K,593CS22982V,,0.0,05/02/2018 09:19:18 MET,,y,1,,,11.0,,,,B079L4WG69,,,,,,B079L4WG69,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen Rugged Armor Kompatibel mit Apple Watch Hülle für 40mm Serie 6/SE/5/4 - Olivgrün,"Die Spigen Rugged Armor Hülle ist speziell zum Schutz des Handys bestimmt.<br>Die Form der Schutzhülle im Bumper-Style ist für das Handy maßgeschneidert. Alle Anschlüsse und Buttons sind bestens zu erreichen und leicht zu bedienen.<br>Der Kamera-Ausschnitt schützt das Objektiv und stört dabei nicht bei Aufnahmen mit dem Handy.<br>Durch das hochwertige Material, ein Premium TPU Silikon im Karbon-Look, wird das Handy vor Stößen und Beschädigungen geschützt.<br>Dabei bietet die Hülle eine angenehme Haptik und einen guten Grip.<br>",0503V2KWJEW,061CS26014DEPX,6.99,,03/05/2019 10:08:48 MEST,,y,4,,,11.0,,,,B07N1YWT5Y,,,,,,8809640254208,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Thin Fit Hülle Kompatibel mit Samsung Galaxy A72,,0209Y2Q8CCJ,ACS02323V,,0.0,09/02/2021 10:07:55 MET,,y,1,,,11.0,,,,B08W8JYKQK,,,,,,B08W8JYKQK,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
"Spigen Huawei P8 Lite Hülle, [Rugged Armor] Variation Parent",,0914SZPR96E,L04CS20300V,,0.0,14/09/2017 11:33:10 MEST,,y,1,,,11.0,,,,B075MC715J,,,,,,B075MC715J,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen EZ Fit Optik Pro Panzerglas Kamera Objektivschutz für Samsung Galaxy S22 Ultra - Variation,,0620Z9VO3PN,AGL04751V,,0.0,20/06/2022 09:13:01 MEST,,y,1,,,11.0,,,,B0B4JMB45K,,,,,,B0B4JMB45K,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
