date,attributedSalesSameSku1d,campaignBiddingStrategy,unitsSoldClicks1d,attributedSalesSameSku7d,topOfSearchImpressionShare,attributedSalesSameSku14d,royaltyQualifiedBorrows,sales1d,sales7d,addToList,campaignRuleBasedBudgetAmount,attributedSalesSameSku30d,kindleEditionNormalizedPagesRoyalties14d,purchasesSameSku14d,spend,purchasesSameSku1d,campaignBudgetType,unitsSoldSameSku1d,campaignStatus,purchases1d,purchasesSameSku7d,unitsSoldSameSku7d,campaignBudgetAmount,purchases7d,unitsSoldSameSku30d,cost,costPerClick,unitsSoldClicks14d,campaignId,sales14d,clickThroughRate,sales30d,impressions,kindleEditionNormalizedPagesRead14d,campaignApplicableBudgetRuleName,purchasesSameSku30d,purchases14d,unitsSoldClicks30d,qualifiedBorrows,campaignBudgetCurrencyCode,purchases30d,campaignApplicableBudgetRuleId,clicks,campaignName,unitsSoldSameSku14d,unitsSoldClicks7d
2026-03-21,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,100.0,0,0,0.0,0.0,0,146987511663185,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_12_04_00_iphone xr_ezfit ver.a_sypark_1030,0,0
2026-03-19,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,5.0,0,0,0.0,0.0,0,213938171769365,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_wireless charger 15w_PF2004_juseo_2201109,0,0
2026-03-25,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,51970618941123,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,ads2_a700_keyword_impr_stella_v2_0821,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,199429215367695,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_03_iP12/12Pro_CrystalSlot_0223,0,0
2026-03-04,23.52,legacy,2,23.52,28.33,23.52,0,23.52,37.8,0,,23.52,0,1,6.62,1,DAILY_BUDGET,2,PAUSED,1,1,2,20.0,2,2,6.62,0.44,3,301919277283048,37.8,5.263157894736842,37.8,285,0,,1,2,3,0,EUR,2,,15,12_11_01_23_A_Galaxy S25_Brand Keyword_250122,2,3
2026-03-12,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,20.0,0,0,0.0,0.0,0,225834979174564,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,nbs1_iphone7_thinfitblack_davidkim_0724_test,0,0
2026-03-10,0.0,optimizeForSales,0,0.0,0.08,0.0,0,0.0,0.0,0,,0.0,0,0,3.64,0,DAILY_BUDGET,0,ENABLED,0,0,0,40.0,0,0,3.64,1.82,0,408939085717034,0.0,0.5681818181818182,0.0,352,0,,0,0,0,0,EUR,0,,2,"12_15_04_03_DE_iPhone 17 Pro Max EZ Fit (B2B, Auto)_Keyword SPN_260202_yeseo",0,0
2026-03-14,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,117818529948368,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_31_04_00_glass_galtaba10.1_sypark_0812,0,0
2026-03-05,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,234988725316200,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_PE2015__broad_45w_usb_c_ladegerat_yhjung_2021_11,0,0
2026-03-22,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,60.0,0,0,0.0,0.0,0,120289970648068,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,ads2_iP6S_LA_jinny_0725,0,0
